snapshot_id,date,product_id,quantity_on_hand,quantity_reserved,quantity_available,reorder_needed
SNAP-00001,2023-07-01,PROD-001,33,12,21,False
SNAP-00002,2023-07-01,PROD-002,28,9,19,False
SNAP-00003,2023-07-01,PROD-003,19,0,19,False
SNAP-00004,2023-07-01,PROD-004,25,0,25,False
SNAP-00005,2023-07-01,PROD-005,15,4,11,False
SNAP-00006,2023-07-01,PROD-006,18,4,14,False
SNAP-00007,2023-07-01,PROD-007,21,5,16,False
SNAP-00008,2023-07-01,PROD-008,21,1,20,False
SNAP-00009,2023-07-01,PROD-009,20,0,20,False
SNAP-00010,2023-07-01,PROD-010,26,4,22,False
SNAP-00011,2023-07-01,PROD-011,24,7,17,False
SNAP-00012,2023-07-01,PROD-012,39,3,36,False
SNAP-00013,2023-07-01,PROD-013,71,21,50,False
SNAP-00014,2023-07-01,PROD-014,61,13,48,False
SNAP-00015,2023-07-01,PROD-015,54,17,37,False
SNAP-00016,2023-07-01,PROD-016,67,2,65,False
SNAP-00017,2023-07-01,PROD-017,8,1,7,False
SNAP-00018,2023-07-01,PROD-018,13,2,11,False
SNAP-00019,2023-08-01,PROD-001,20,6,14,False
SNAP-00020,2023-08-01,PROD-002,14,3,11,False
SNAP-00021,2023-08-01,PROD-003,31,4,27,False
SNAP-00022,2023-08-01,PROD-004,23,6,17,False
SNAP-00023,2023-08-01,PROD-005,20,6,14,False
SNAP-00024,2023-08-01,PROD-006,16,3,13,False
SNAP-00025,2023-08-01,PROD-007,17,2,15,False
SNAP-00026,2023-08-01,PROD-008,18,0,18,False
SNAP-00027,2023-08-01,PROD-009,40,12,28,False
SNAP-00028,2023-08-01,PROD-010,38,4,34,False
SNAP-00029,2023-08-01,PROD-011,29,11,18,False
SNAP-00030,2023-08-01,PROD-012,22,0,22,False
SNAP-00031,2023-08-01,PROD-013,73,4,69,False
SNAP-00032,2023-08-01,PROD-014,55,11,44,False
SNAP-00033,2023-08-01,PROD-015,50,5,45,False
SNAP-00034,2023-08-01,PROD-016,68,10,58,False
SNAP-00035,2023-08-01,PROD-017,7,2,5,False
SNAP-00036,2023-08-01,PROD-018,12,2,10,False
SNAP-00037,2023-09-01,PROD-001,32,3,29,False
SNAP-00038,2023-09-01,PROD-002,18,2,16,False
SNAP-00039,2023-09-01,PROD-003,15,2,13,False
SNAP-00040,2023-09-01,PROD-004,16,1,15,False
SNAP-00041,2023-09-01,PROD-005,16,4,12,False
SNAP-00042,2023-09-01,PROD-006,23,1,22,False
SNAP-00043,2023-09-01,PROD-007,21,4,17,False
SNAP-00044,2023-09-01,PROD-008,21,4,17,False
SNAP-00045,2023-09-01,PROD-009,29,3,26,False
SNAP-00046,2023-09-01,PROD-010,21,8,13,False
SNAP-00047,2023-09-01,PROD-011,32,1,31,False
SNAP-00048,2023-09-01,PROD-012,32,7,25,False
SNAP-00049,2023-09-01,PROD-013,69,18,51,False
SNAP-00050,2023-09-01,PROD-014,33,0,33,False
SNAP-00051,2023-09-01,PROD-015,52,14,38,False
SNAP-00052,2023-09-01,PROD-016,82,30,52,False
SNAP-00053,2023-09-01,PROD-017,19,4,15,False
SNAP-00054,2023-09-01,PROD-018,14,1,13,False
SNAP-00055,2023-10-01,PROD-001,24,2,22,False
SNAP-00056,2023-10-01,PROD-002,28,6,22,False
SNAP-00057,2023-10-01,PROD-003,26,9,17,False
SNAP-00058,2023-10-01,PROD-004,23,7,16,False
SNAP-00059,2023-10-01,PROD-005,12,3,9,False
SNAP-00060,2023-10-01,PROD-006,3,0,3,True
SNAP-00061,2023-10-01,PROD-007,9,0,9,False
SNAP-00062,2023-10-01,PROD-008,9,2,7,False
SNAP-00063,2023-10-01,PROD-009,20,4,16,False
SNAP-00064,2023-10-01,PROD-010,30,7,23,False
SNAP-00065,2023-10-01,PROD-011,31,4,27,False
SNAP-00066,2023-10-01,PROD-012,33,8,25,False
SNAP-00067,2023-10-01,PROD-013,46,9,37,False
SNAP-00068,2023-10-01,PROD-014,31,0,31,False
SNAP-00069,2023-10-01,PROD-015,47,7,40,False
SNAP-00070,2023-10-01,PROD-016,45,15,30,False
SNAP-00071,2023-10-01,PROD-017,16,3,13,False
SNAP-00072,2023-10-01,PROD-018,18,6,12,False
SNAP-00073,2023-10-15,PROD-001,18,3,15,False
SNAP-00074,2023-10-15,PROD-002,23,9,14,False
SNAP-00075,2023-10-15,PROD-003,19,4,15,False
SNAP-00076,2023-10-15,PROD-004,19,2,17,False
SNAP-00077,2023-10-15,PROD-005,11,2,9,False
SNAP-00078,2023-10-15,PROD-006,10,0,10,False
SNAP-00079,2023-10-15,PROD-007,5,0,5,True
SNAP-00080,2023-10-15,PROD-008,4,0,4,True
SNAP-00081,2023-10-15,PROD-009,24,0,24,False
SNAP-00082,2023-10-15,PROD-010,45,11,34,False
SNAP-00083,2023-10-15,PROD-011,24,1,23,False
SNAP-00084,2023-10-15,PROD-012,24,1,23,False
SNAP-00085,2023-10-15,PROD-013,51,19,32,False
SNAP-00086,2023-10-15,PROD-014,55,6,49,False
SNAP-00087,2023-10-15,PROD-015,65,14,51,False
SNAP-00088,2023-10-15,PROD-016,78,12,66,False
SNAP-00089,2023-10-15,PROD-017,19,4,15,False
SNAP-00090,2023-10-15,PROD-018,9,2,7,False
SNAP-00091,2023-11-01,PROD-001,27,0,27,False
SNAP-00092,2023-11-01,PROD-002,20,3,17,False
SNAP-00093,2023-11-01,PROD-003,15,3,12,False
SNAP-00094,2023-11-01,PROD-004,21,6,15,False
SNAP-00095,2023-11-01,PROD-005,11,2,9,False
SNAP-00096,2023-11-01,PROD-006,7,1,6,False
SNAP-00097,2023-11-01,PROD-007,2,0,2,True
SNAP-00098,2023-11-01,PROD-008,12,2,10,False
SNAP-00099,2023-11-01,PROD-009,23,1,22,False
SNAP-00100,2023-11-01,PROD-010,41,9,32,False
SNAP-00101,2023-11-01,PROD-011,26,6,20,False
SNAP-00102,2023-11-01,PROD-012,29,3,26,False
SNAP-00103,2023-11-01,PROD-013,64,1,63,False
SNAP-00104,2023-11-01,PROD-014,66,24,42,False
SNAP-00105,2023-11-01,PROD-015,51,19,32,False
SNAP-00106,2023-11-01,PROD-016,54,11,43,False
SNAP-00107,2023-11-01,PROD-017,11,0,11,False
SNAP-00108,2023-11-01,PROD-018,12,0,12,False
SNAP-00109,2023-11-15,PROD-001,30,4,26,False
SNAP-00110,2023-11-15,PROD-002,20,7,13,False
SNAP-00111,2023-11-15,PROD-003,24,4,20,False
SNAP-00112,2023-11-15,PROD-004,27,1,26,False
SNAP-00113,2023-11-15,PROD-005,10,1,9,False
SNAP-00114,2023-11-15,PROD-006,5,1,4,True
SNAP-00115,2023-11-15,PROD-007,10,1,9,False
SNAP-00116,2023-11-15,PROD-008,5,0,5,True
SNAP-00117,2023-11-15,PROD-009,30,4,26,False
SNAP-00118,2023-11-15,PROD-010,29,3,26,False
SNAP-00119,2023-11-15,PROD-011,38,2,36,False
SNAP-00120,2023-11-15,PROD-012,34,6,28,False
SNAP-00121,2023-11-15,PROD-013,61,7,54,False
SNAP-00122,2023-11-15,PROD-014,54,1,53,False
SNAP-00123,2023-11-15,PROD-015,63,22,41,False
SNAP-00124,2023-11-15,PROD-016,55,13,42,False
SNAP-00125,2023-11-15,PROD-017,19,3,16,False
SNAP-00126,2023-11-15,PROD-018,11,4,7,False
SNAP-00127,2023-12-01,PROD-001,27,7,20,False
SNAP-00128,2023-12-01,PROD-002,19,1,18,False
SNAP-00129,2023-12-01,PROD-003,20,4,16,False
SNAP-00130,2023-12-01,PROD-004,19,6,13,False
SNAP-00131,2023-12-01,PROD-005,22,4,18,False
SNAP-00132,2023-12-01,PROD-006,19,2,17,False
SNAP-00133,2023-12-01,PROD-007,28,0,28,False
SNAP-00134,2023-12-01,PROD-008,26,5,21,False
SNAP-00135,2023-12-01,PROD-009,38,14,24,False
SNAP-00136,2023-12-01,PROD-010,29,1,28,False
SNAP-00137,2023-12-01,PROD-011,20,3,17,False
SNAP-00138,2023-12-01,PROD-012,27,0,27,False
SNAP-00139,2023-12-01,PROD-013,58,14,44,False
SNAP-00140,2023-12-01,PROD-014,31,2,29,False
SNAP-00141,2023-12-01,PROD-015,90,16,74,False
SNAP-00142,2023-12-01,PROD-016,49,17,32,False
SNAP-00143,2023-12-01,PROD-017,15,2,13,False
SNAP-00144,2023-12-01,PROD-018,12,2,10,False
SNAP-00145,2023-12-15,PROD-001,25,4,21,False
SNAP-00146,2023-12-15,PROD-002,27,9,18,False
SNAP-00147,2023-12-15,PROD-003,30,8,22,False
SNAP-00148,2023-12-15,PROD-004,17,0,17,False
SNAP-00149,2023-12-15,PROD-005,23,5,18,False
SNAP-00150,2023-12-15,PROD-006,10,2,8,False
SNAP-00151,2023-12-15,PROD-007,22,7,15,False
SNAP-00152,2023-12-15,PROD-008,19,6,13,False
SNAP-00153,2023-12-15,PROD-009,32,5,27,False
SNAP-00154,2023-12-15,PROD-010,33,10,23,False
SNAP-00155,2023-12-15,PROD-011,23,2,21,False
SNAP-00156,2023-12-15,PROD-012,30,5,25,False
SNAP-00157,2023-12-15,PROD-013,52,9,43,False
SNAP-00158,2023-12-15,PROD-014,58,16,42,False
SNAP-00159,2023-12-15,PROD-015,50,12,38,False
SNAP-00160,2023-12-15,PROD-016,53,7,46,False
SNAP-00161,2023-12-15,PROD-017,8,0,8,False
SNAP-00162,2023-12-15,PROD-018,15,3,12,False
SNAP-00163,2024-01-01,PROD-001,18,3,15,False
SNAP-00164,2024-01-01,PROD-002,25,0,25,False
SNAP-00165,2024-01-01,PROD-003,25,6,19,False
SNAP-00166,2024-01-01,PROD-004,16,5,11,False
SNAP-00167,2024-01-01,PROD-005,21,4,17,False
SNAP-00168,2024-01-01,PROD-006,20,5,15,False
SNAP-00169,2024-01-01,PROD-007,16,1,15,False
SNAP-00170,2024-01-01,PROD-008,18,6,12,False
SNAP-00171,2024-01-01,PROD-009,30,3,27,False
SNAP-00172,2024-01-01,PROD-010,27,1,26,False
SNAP-00173,2024-01-01,PROD-011,18,6,12,False
SNAP-00174,2024-01-01,PROD-012,23,0,23,False
SNAP-00175,2024-01-01,PROD-013,59,19,40,False
SNAP-00176,2024-01-01,PROD-014,69,10,59,False
SNAP-00177,2024-01-01,PROD-015,54,15,39,False
SNAP-00178,2024-01-01,PROD-016,60,12,48,False
SNAP-00179,2024-01-01,PROD-017,15,0,15,False
SNAP-00180,2024-01-01,PROD-018,18,6,12,False
SNAP-00181,2024-02-01,PROD-001,16,0,16,False
SNAP-00182,2024-02-01,PROD-002,18,6,12,False
SNAP-00183,2024-02-01,PROD-003,22,1,21,False
SNAP-00184,2024-02-01,PROD-004,27,1,26,False
SNAP-00185,2024-02-01,PROD-005,18,5,13,False
SNAP-00186,2024-02-01,PROD-006,21,5,16,False
SNAP-00187,2024-02-01,PROD-007,17,0,17,False
SNAP-00188,2024-02-01,PROD-008,19,3,16,False
SNAP-00189,2024-02-01,PROD-009,35,10,25,False
SNAP-00190,2024-02-01,PROD-010,23,5,18,False
SNAP-00191,2024-02-01,PROD-011,27,1,26,False
SNAP-00192,2024-02-01,PROD-012,27,3,24,False
SNAP-00193,2024-02-01,PROD-013,59,2,57,False
SNAP-00194,2024-02-01,PROD-014,46,15,31,False
SNAP-00195,2024-02-01,PROD-015,70,12,58,False
SNAP-00196,2024-02-01,PROD-016,49,10,39,False
SNAP-00197,2024-02-01,PROD-017,15,1,14,False
SNAP-00198,2024-02-01,PROD-018,19,6,13,False
SNAP-00199,2024-03-01,PROD-001,22,3,19,False
SNAP-00200,2024-03-01,PROD-002,22,5,17,False
SNAP-00201,2024-03-01,PROD-003,26,9,17,False
SNAP-00202,2024-03-01,PROD-004,21,1,20,False
SNAP-00203,2024-03-01,PROD-005,36,6,30,False
SNAP-00204,2024-03-01,PROD-006,26,9,17,False
SNAP-00205,2024-03-01,PROD-007,24,7,17,False
SNAP-00206,2024-03-01,PROD-008,26,4,22,False
SNAP-00207,2024-03-01,PROD-009,32,6,26,False
SNAP-00208,2024-03-01,PROD-010,33,5,28,False
SNAP-00209,2024-03-01,PROD-011,36,0,36,False
SNAP-00210,2024-03-01,PROD-012,37,3,34,False
SNAP-00211,2024-03-01,PROD-013,45,5,40,False
SNAP-00212,2024-03-01,PROD-014,66,12,54,False
SNAP-00213,2024-03-01,PROD-015,44,12,32,False
SNAP-00214,2024-03-01,PROD-016,54,14,40,False
SNAP-00215,2024-03-01,PROD-017,12,0,12,False
SNAP-00216,2024-03-01,PROD-018,8,1,7,False
SNAP-00217,2024-04-01,PROD-001,26,2,24,False
SNAP-00218,2024-04-01,PROD-002,21,7,14,False
SNAP-00219,2024-04-01,PROD-003,32,7,25,False
SNAP-00220,2024-04-01,PROD-004,31,4,27,False
SNAP-00221,2024-04-01,PROD-005,27,0,27,False
SNAP-00222,2024-04-01,PROD-006,33,4,29,False
SNAP-00223,2024-04-01,PROD-007,29,10,19,False
SNAP-00224,2024-04-01,PROD-008,33,6,27,False
SNAP-00225,2024-04-01,PROD-009,35,1,34,False
SNAP-00226,2024-04-01,PROD-010,27,7,20,False
SNAP-00227,2024-04-01,PROD-011,30,8,22,False
SNAP-00228,2024-04-01,PROD-012,32,2,30,False
SNAP-00229,2024-04-01,PROD-013,42,9,33,False
SNAP-00230,2024-04-01,PROD-014,56,12,44,False
SNAP-00231,2024-04-01,PROD-015,70,17,53,False
SNAP-00232,2024-04-01,PROD-016,65,25,40,False
SNAP-00233,2024-04-01,PROD-017,14,3,11,False
SNAP-00234,2024-04-01,PROD-018,14,2,12,False
SNAP-00235,2024-05-01,PROD-001,18,5,13,False
SNAP-00236,2024-05-01,PROD-002,35,5,30,False
SNAP-00237,2024-05-01,PROD-003,21,3,18,False
SNAP-00238,2024-05-01,PROD-004,18,6,12,False
SNAP-00239,2024-05-01,PROD-005,33,10,23,False
SNAP-00240,2024-05-01,PROD-006,26,7,19,False
SNAP-00241,2024-05-01,PROD-007,29,0,29,False
SNAP-00242,2024-05-01,PROD-008,40,8,32,False
SNAP-00243,2024-05-01,PROD-009,23,7,16,False
SNAP-00244,2024-05-01,PROD-010,30,7,23,False
SNAP-00245,2024-05-01,PROD-011,25,5,20,False
SNAP-00246,2024-05-01,PROD-012,28,9,19,False
SNAP-00247,2024-05-01,PROD-013,71,7,64,False
SNAP-00248,2024-05-01,PROD-014,41,13,28,False
SNAP-00249,2024-05-01,PROD-015,67,6,61,False
SNAP-00250,2024-05-01,PROD-016,60,18,42,False
SNAP-00251,2024-05-01,PROD-017,14,0,14,False
SNAP-00252,2024-05-01,PROD-018,9,0,9,False
SNAP-00253,2024-06-01,PROD-001,17,1,16,False
SNAP-00254,2024-06-01,PROD-002,24,6,18,False
SNAP-00255,2024-06-01,PROD-003,21,2,19,False
SNAP-00256,2024-06-01,PROD-004,23,6,17,False
SNAP-00257,2024-06-01,PROD-005,16,5,11,False
SNAP-00258,2024-06-01,PROD-006,26,2,24,False
SNAP-00259,2024-06-01,PROD-007,18,0,18,False
SNAP-00260,2024-06-01,PROD-008,18,0,18,False
SNAP-00261,2024-06-01,PROD-009,27,7,20,False
SNAP-00262,2024-06-01,PROD-010,34,2,32,False
SNAP-00263,2024-06-01,PROD-011,38,8,30,False
SNAP-00264,2024-06-01,PROD-012,24,7,17,False
SNAP-00265,2024-06-01,PROD-013,89,0,89,False
SNAP-00266,2024-06-01,PROD-014,56,0,56,False
SNAP-00267,2024-06-01,PROD-015,64,11,53,False
SNAP-00268,2024-06-01,PROD-016,49,4,45,False
SNAP-00269,2024-06-01,PROD-017,15,4,11,False
SNAP-00270,2024-06-01,PROD-018,19,1,18,False
SNAP-00271,2024-07-01,PROD-001,26,4,22,False
SNAP-00272,2024-07-01,PROD-002,19,3,16,False
SNAP-00273,2024-07-01,PROD-003,26,1,25,False
SNAP-00274,2024-07-01,PROD-004,29,9,20,False
SNAP-00275,2024-07-01,PROD-005,18,4,14,False
SNAP-00276,2024-07-01,PROD-006,22,7,15,False
SNAP-00277,2024-07-01,PROD-007,22,0,22,False
SNAP-00278,2024-07-01,PROD-008,17,1,16,False
SNAP-00279,2024-07-01,PROD-009,38,2,36,False
SNAP-00280,2024-07-01,PROD-010,29,7,22,False
SNAP-00281,2024-07-01,PROD-011,36,14,22,False
SNAP-00282,2024-07-01,PROD-012,31,7,24,False
SNAP-00283,2024-07-01,PROD-013,51,19,32,False
SNAP-00284,2024-07-01,PROD-014,43,2,41,False
SNAP-00285,2024-07-01,PROD-015,53,8,45,False
SNAP-00286,2024-07-01,PROD-016,64,10,54,False
SNAP-00287,2024-07-01,PROD-017,16,5,11,False
SNAP-00288,2024-07-01,PROD-018,19,4,15,False
SNAP-00289,2024-08-01,PROD-001,27,0,27,False
SNAP-00290,2024-08-01,PROD-002,35,0,35,False
SNAP-00291,2024-08-01,PROD-003,34,9,25,False
SNAP-00292,2024-08-01,PROD-004,22,7,15,False
SNAP-00293,2024-08-01,PROD-005,13,4,9,False
SNAP-00294,2024-08-01,PROD-006,17,1,16,False
SNAP-00295,2024-08-01,PROD-007,17,4,13,False
SNAP-00296,2024-08-01,PROD-008,16,5,11,False
SNAP-00297,2024-08-01,PROD-009,27,2,25,False
SNAP-00298,2024-08-01,PROD-010,30,4,26,False
SNAP-00299,2024-08-01,PROD-011,23,8,15,False
SNAP-00300,2024-08-01,PROD-012,39,4,35,False
SNAP-00301,2024-08-01,PROD-013,51,0,51,False
SNAP-00302,2024-08-01,PROD-014,50,13,37,False
SNAP-00303,2024-08-01,PROD-015,53,0,53,False
SNAP-00304,2024-08-01,PROD-016,67,18,49,False
SNAP-00305,2024-08-01,PROD-017,15,2,13,False
SNAP-00306,2024-08-01,PROD-018,5,1,4,True
SNAP-00307,2024-09-01,PROD-001,28,2,26,False
SNAP-00308,2024-09-01,PROD-002,20,0,20,False
SNAP-00309,2024-09-01,PROD-003,33,5,28,False
SNAP-00310,2024-09-01,PROD-004,16,6,10,False
SNAP-00311,2024-09-01,PROD-005,11,0,11,False
SNAP-00312,2024-09-01,PROD-006,20,4,16,False
SNAP-00313,2024-09-01,PROD-007,18,3,15,False
SNAP-00314,2024-09-01,PROD-008,23,0,23,False
SNAP-00315,2024-09-01,PROD-009,27,9,18,False
SNAP-00316,2024-09-01,PROD-010,31,10,21,False
SNAP-00317,2024-09-01,PROD-011,25,2,23,False
SNAP-00318,2024-09-01,PROD-012,33,10,23,False
SNAP-00319,2024-09-01,PROD-013,71,17,54,False
SNAP-00320,2024-09-01,PROD-014,59,14,45,False
SNAP-00321,2024-09-01,PROD-015,49,0,49,False
SNAP-00322,2024-09-01,PROD-016,60,19,41,False
SNAP-00323,2024-09-01,PROD-017,19,4,15,False
SNAP-00324,2024-09-01,PROD-018,19,0,19,False
SNAP-00325,2024-10-01,PROD-001,16,5,11,False
SNAP-00326,2024-10-01,PROD-002,18,5,13,False
SNAP-00327,2024-10-01,PROD-003,20,5,15,False
SNAP-00328,2024-10-01,PROD-004,25,1,24,False
SNAP-00329,2024-10-01,PROD-005,10,0,10,False
SNAP-00330,2024-10-01,PROD-006,7,0,7,False
SNAP-00331,2024-10-01,PROD-007,9,1,8,False
SNAP-00332,2024-10-01,PROD-008,11,1,10,False
SNAP-00333,2024-10-01,PROD-009,31,10,21,False
SNAP-00334,2024-10-01,PROD-010,35,9,26,False
SNAP-00335,2024-10-01,PROD-011,35,9,26,False
SNAP-00336,2024-10-01,PROD-012,30,4,26,False
SNAP-00337,2024-10-01,PROD-013,53,12,41,False
SNAP-00338,2024-10-01,PROD-014,49,12,37,False
SNAP-00339,2024-10-01,PROD-015,59,18,41,False
SNAP-00340,2024-10-01,PROD-016,51,13,38,False
SNAP-00341,2024-10-01,PROD-017,14,3,11,False
SNAP-00342,2024-10-01,PROD-018,16,4,12,False
SNAP-00343,2024-10-15,PROD-001,20,1,19,False
SNAP-00344,2024-10-15,PROD-002,13,2,11,False
SNAP-00345,2024-10-15,PROD-003,25,8,17,False
SNAP-00346,2024-10-15,PROD-004,24,7,17,False
SNAP-00347,2024-10-15,PROD-005,7,0,7,False
SNAP-00348,2024-10-15,PROD-006,9,1,8,False
SNAP-00349,2024-10-15,PROD-007,8,0,8,False
SNAP-00350,2024-10-15,PROD-008,3,0,3,True
SNAP-00351,2024-10-15,PROD-009,30,9,21,False
SNAP-00352,2024-10-15,PROD-010,22,5,17,False
SNAP-00353,2024-10-15,PROD-011,23,0,23,False
SNAP-00354,2024-10-15,PROD-012,28,3,25,False
SNAP-00355,2024-10-15,PROD-013,39,6,33,False
SNAP-00356,2024-10-15,PROD-014,78,3,75,False
SNAP-00357,2024-10-15,PROD-015,71,5,66,False
SNAP-00358,2024-10-15,PROD-016,64,16,48,False
SNAP-00359,2024-10-15,PROD-017,16,3,13,False
SNAP-00360,2024-10-15,PROD-018,10,3,7,False
SNAP-00361,2024-11-01,PROD-001,18,0,18,False
SNAP-00362,2024-11-01,PROD-002,28,8,20,False
SNAP-00363,2024-11-01,PROD-003,20,2,18,False
SNAP-00364,2024-11-01,PROD-004,27,9,18,False
SNAP-00365,2024-11-01,PROD-005,5,1,4,True
SNAP-00366,2024-11-01,PROD-006,0,0,0,True
SNAP-00367,2024-11-01,PROD-007,9,2,7,False
SNAP-00368,2024-11-01,PROD-008,7,0,7,False
SNAP-00369,2024-11-01,PROD-009,39,0,39,False
SNAP-00370,2024-11-01,PROD-010,36,1,35,False
SNAP-00371,2024-11-01,PROD-011,32,6,26,False
SNAP-00372,2024-11-01,PROD-012,23,5,18,False
SNAP-00373,2024-11-01,PROD-013,59,23,36,False
SNAP-00374,2024-11-01,PROD-014,50,6,44,False
SNAP-00375,2024-11-01,PROD-015,48,1,47,False
SNAP-00376,2024-11-01,PROD-016,44,11,33,False
SNAP-00377,2024-11-01,PROD-017,17,2,15,False
SNAP-00378,2024-11-01,PROD-018,15,0,15,False
SNAP-00379,2024-11-15,PROD-001,13,2,11,False
SNAP-00380,2024-11-15,PROD-002,25,3,22,False
SNAP-00381,2024-11-15,PROD-003,20,1,19,False
SNAP-00382,2024-11-15,PROD-004,22,4,18,False
SNAP-00383,2024-11-15,PROD-005,9,2,7,False
SNAP-00384,2024-11-15,PROD-006,12,2,10,False
SNAP-00385,2024-11-15,PROD-007,9,0,9,False
SNAP-00386,2024-11-15,PROD-008,15,0,15,False
SNAP-00387,2024-11-15,PROD-009,22,4,18,False
SNAP-00388,2024-11-15,PROD-010,29,11,18,False
SNAP-00389,2024-11-15,PROD-011,36,13,23,False
SNAP-00390,2024-11-15,PROD-012,32,7,25,False
SNAP-00391,2024-11-15,PROD-013,47,3,44,False
SNAP-00392,2024-11-15,PROD-014,44,15,29,False
SNAP-00393,2024-11-15,PROD-015,55,19,36,False
SNAP-00394,2024-11-15,PROD-016,61,15,46,False
SNAP-00395,2024-11-15,PROD-017,14,1,13,False
SNAP-00396,2024-11-15,PROD-018,15,1,14,False
SNAP-00397,2024-12-01,PROD-001,19,5,14,False
SNAP-00398,2024-12-01,PROD-002,18,4,14,False
SNAP-00399,2024-12-01,PROD-003,17,1,16,False
SNAP-00400,2024-12-01,PROD-004,20,0,20,False
SNAP-00401,2024-12-01,PROD-005,18,5,13,False
SNAP-00402,2024-12-01,PROD-006,19,6,13,False
SNAP-00403,2024-12-01,PROD-007,17,4,13,False
SNAP-00404,2024-12-01,PROD-008,16,2,14,False
SNAP-00405,2024-12-01,PROD-009,38,5,33,False
SNAP-00406,2024-12-01,PROD-010,38,5,33,False
SNAP-00407,2024-12-01,PROD-011,19,2,17,False
SNAP-00408,2024-12-01,PROD-012,40,8,32,False
SNAP-00409,2024-12-01,PROD-013,44,1,43,False
SNAP-00410,2024-12-01,PROD-014,37,2,35,False
SNAP-00411,2024-12-01,PROD-015,71,14,57,False
SNAP-00412,2024-12-01,PROD-016,45,9,36,False
SNAP-00413,2024-12-01,PROD-017,17,2,15,False
SNAP-00414,2024-12-01,PROD-018,14,0,14,False
SNAP-00415,2024-12-15,PROD-001,22,3,19,False
SNAP-00416,2024-12-15,PROD-002,22,7,15,False
SNAP-00417,2024-12-15,PROD-003,32,5,27,False
SNAP-00418,2024-12-15,PROD-004,16,5,11,False
SNAP-00419,2024-12-15,PROD-005,18,1,17,False
SNAP-00420,2024-12-15,PROD-006,19,7,12,False
SNAP-00421,2024-12-15,PROD-007,15,3,12,False
SNAP-00422,2024-12-15,PROD-008,20,4,16,False
SNAP-00423,2024-12-15,PROD-009,29,0,29,False
SNAP-00424,2024-12-15,PROD-010,36,11,25,False
SNAP-00425,2024-12-15,PROD-011,24,6,18,False
SNAP-00426,2024-12-15,PROD-012,32,9,23,False
SNAP-00427,2024-12-15,PROD-013,66,2,64,False
SNAP-00428,2024-12-15,PROD-014,53,13,40,False
SNAP-00429,2024-12-15,PROD-015,56,4,52,False
SNAP-00430,2024-12-15,PROD-016,73,21,52,False
SNAP-00431,2024-12-15,PROD-017,9,2,7,False
SNAP-00432,2024-12-15,PROD-018,11,1,10,False
SNAP-00433,2025-01-01,PROD-001,16,2,14,False
SNAP-00434,2025-01-01,PROD-002,26,0,26,False
SNAP-00435,2025-01-01,PROD-003,26,6,20,False
SNAP-00436,2025-01-01,PROD-004,9,1,8,False
SNAP-00437,2025-01-01,PROD-005,22,3,19,False
SNAP-00438,2025-01-01,PROD-006,20,1,19,False
SNAP-00439,2025-01-01,PROD-007,17,6,11,False
SNAP-00440,2025-01-01,PROD-008,12,1,11,False
SNAP-00441,2025-01-01,PROD-009,38,0,38,False
SNAP-00442,2025-01-01,PROD-010,21,1,20,False
SNAP-00443,2025-01-01,PROD-011,29,5,24,False
SNAP-00444,2025-01-01,PROD-012,22,4,18,False
SNAP-00445,2025-01-01,PROD-013,59,0,59,False
SNAP-00446,2025-01-01,PROD-014,36,8,28,False
SNAP-00447,2025-01-01,PROD-015,72,24,48,False
SNAP-00448,2025-01-01,PROD-016,58,1,57,False
SNAP-00449,2025-01-01,PROD-017,13,0,13,False
SNAP-00450,2025-01-01,PROD-018,15,2,13,False
